Vivado Simulator 2014.4
Time resolution is 1 ps
count = 1111
count = 1111
count = 1110
count = 1101
count = 1100
count = 1011
count = 1010
count = 1001
count = 1000
count = 0111
count = 0110
count = 0101
count = 0100
count = 0011
count = 0010
count = 0001
count = 0000
count = 1111
count = 1110
count = 1101
count = 1100
count = 1011
count = 1010
count = 1001
count = 1000
count = 0111
count = 0110
count = 0101
count = 0100
count = 0011
count = 0010
count = 0001
count = 0000
count = 1111
count = 1110
count = 1101
count = 1100
count = 1011
count = 1010
count = 1001
count = 1000
count = 0111
count = 0110
count = 0101
count = 0100
count = 0011
count = 0010
count = 0001
count = 0000
count = 1111
count = 1110
count = 1101
$finish called at time : 520 ns : File "D:/Rohit_V/Documents/Codes/VS Code/My Learnings/HDL/t_counters/t_counters.srcs/sim_1/new/tb_down_neg.v" Line 59
